COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;7210;Marmande;CHAR;4
CODGEO;Code géographique;Code géographique;7211;Villeneuve-sur-Lot;CHAR;4
CODGEO;Code géographique;Code géographique;7212;Bayonne;CHAR;4
CODGEO;Code géographique;Code géographique;7213;Oloron-Sainte-Marie;CHAR;4
CODGEO;Code géographique;Code géographique;7214;Pau;CHAR;4
CODGEO;Code géographique;Code géographique;7301;Foix - Pamiers;CHAR;4
CODGEO;Code géographique;Code géographique;7302;Saint-Girons;CHAR;4
CODGEO;Code géographique;Code géographique;7303;Millau;CHAR;4
CODGEO;Code géographique;Code géographique;7304;Rodez;CHAR;4
CODGEO;Code géographique;Code géographique;7305;Villefranche-de-Rouergue;CHAR;4
CODGEO;Code géographique;Code géographique;7306;Saint-Gaudens;CHAR;4
CODGEO;Code géographique;Code géographique;7307;Auch;CHAR;4
CODGEO;Code géographique;Code géographique;7308;Cahors;CHAR;4
CODGEO;Code géographique;Code géographique;7309;Figeac;CHAR;4
CODGEO;Code géographique;Code géographique;7310;Tarbes - Lourdes;CHAR;4
CODGEO;Code géographique;Code géographique;7311;Albi;CHAR;4
CODGEO;Code géographique;Code géographique;7312;Castres - Mazamet;CHAR;4
CODGEO;Code géographique;Code géographique;7313;Montauban;CHAR;4
CODGEO;Code géographique;Code géographique;7401;Tulle;CHAR;4
CODGEO;Code géographique;Code géographique;7402;Ussel;CHAR;4
CODGEO;Code géographique;Code géographique;7403;Guéret;CHAR;4
CODGEO;Code géographique;Code géographique;7404;Limoges;CHAR;4
CODGEO;Code géographique;Code géographique;8201;Ambérieu-en-Bugey;CHAR;4
CODGEO;Code géographique;Code géographique;8202;Bourg-en-Bresse;CHAR;4
CODGEO;Code géographique;Code géographique;8203;Oyonnax;CHAR;4
CODGEO;Code géographique;Code géographique;8204;Annonay;CHAR;4
CODGEO;Code géographique;Code géographique;8205;Aubenas;CHAR;4
CODGEO;Code géographique;Code géographique;8206;Montélimar;CHAR;4
CODGEO;Code géographique;Code géographique;8207;Romans-sur-Isère;CHAR;4
CODGEO;Code géographique;Code géographique;8208;Valence;CHAR;4
CODGEO;Code géographique;Code géographique;8209;Bourgoin-Jallieu;CHAR;4
CODGEO;Code géographique;Code géographique;8210;Grenoble;CHAR;4
CODGEO;Code géographique;Code géographique;8211;Vienne - Roussillon;CHAR;4
CODGEO;Code géographique;Code géographique;8212;Roanne;CHAR;4
CODGEO;Code géographique;Code géographique;8213;Villefranche-sur-Saône;CHAR;4
CODGEO;Code géographique;Code géographique;8214;Lyon;CHAR;4
CODGEO;Code géographique;Code géographique;8215;La Tarentaise;CHAR;4
CODGEO;Code géographique;Code géographique;8216;Chambéry;CHAR;4
CODGEO;Code géographique;Code géographique;8217;La Maurienne;CHAR;4
CODGEO;Code géographique;Code géographique;8218;Annecy;CHAR;4
CODGEO;Code géographique;Code géographique;8219;Le Genevois Français;CHAR;4
