CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
2202;23431;53952;18450;42.1;20.7;33.4;26.7;24.9;20.3;11.6;9.7;9.4;39.2;64.9;57.3;3.6;4;33;6.4;8.8;3.1;3.5;2.2;-13.1;10130;30690;3
2203;23913;54682;17560;37.6;23.3;35.5;28;29.2;23.9;14.1;11.8;13;43;61.5;52.7;3.2;5.6;32.7;8.8;9.4;3.3;3.8;2.3;-12.4;9740;29020;3
2204;40756;95654;19280;44;18;30.1;22.1;20.1;18.2;10.5;9.5;8.5;35.6;68.5;60;3.3;5.2;29.8;8.5;7.4;2.9;2.7;1.8;-14.2;10560;32430;3.1
2205;57264;132068;18740;43.6;20.4;32.6;25.4;24.8;20.5;11.9;8.7;9.2;38.4;66.3;57.5;3.3;5.5;31.6;8;8.4;2.9;3.4;2.1;-14.3;10090;32230;3.2
2206;39450;91938;19520;45.6;16.8;26.1;20.6;19.9;18.1;10.3;7.2;7.4;32.2;68.1;59.8;3.4;4.9;31.3;8;7.1;2.8;2.6;1.7;-14.5;10900;32670;3
2207;100209;249180;20910;52.5;13.4;20.5;16;15;13;8.9;7.6;5.9;28.6;75;67.4;3.3;4.3;27;6.8;6.2;2.8;2.1;1.3;-15;11590;33900;2.9
2208;81766;197569;21420;54.3;12.5;20.8;15.1;14.3;11.7;7.9;7.6;5.2;26.5;75.8;68.3;3.2;4.3;27.4;7.8;5.4;2.4;1.8;1.2;-16.4;11820;36470;3.1
2209;29468;67376;19150;43.8;17.3;29.4;20.9;20.7;18.4;10.3;10.5;9;33.3;64.4;54.2;3;7.2;33.3;10;7;2.4;3;1.6;-14.7;10670;32720;3.1
2210;157635;364108;20090;48.4;16.4;29.6;19.2;18.6;16;9.9;8.4;6.9;32.4;72.1;63.2;3.1;5.8;28.4;8.3;7;2.5;2.8;1.7;-15.8;10860;34530;3.2
2211;23096;54377;18830;42.5;17.8;26.4;22.4;22.1;18.6;9.3;10.1;9.5;36.3;66.9;57.5;3.6;5.8;31.3;8.5;7.3;2.8;2.9;1.6;-14;10800;31400;2.9
2301;25082;56450;20140;47.8;13.8;21.2;17.2;16.2;15;8.8;7.7;7.4;28.8;64.8;56.5;3.1;5.2;34.8;8.6;6.1;2.3;2.4;1.4;-14.3;11430;33070;2.9
2302;90112;214330;20990;52;13.1;21;16.6;15.3;12.7;7.5;6.5;5.6;28.1;72;64.5;3.3;4.2;29.5;7.6;6.1;2.6;2.1;1.4;-15.2;11640;34570;3
2303;22397;52508;20380;47.1;12.9;18.9;13.8;15.2;13.6;8.9;8.6;7.1;26.2;70.6;62.5;3.3;4.8;30.1;7.7;5.9;2.5;2.1;1.3;-14.3;11810;33460;2.8
2304;49691;121476;21200;54;12.3;20.1;15.6;14.5;11.2;8;6.2;5.6;25.7;73.8;66.2;3.5;4.1;28.8;7.3;5.6;2.6;1.8;1.2;-15.5;11880;35500;3
2305;53282;120640;20080;47.1;13.8;22.3;17.1;16.3;13.9;8.6;8.3;6.3;26.5;66.6;58;3;5.6;33.4;7.8;6.4;2.3;2.6;1.5;-14.2;11540;33770;2.9
2306;169434;389850;20590;50.1;14.5;25.7;17.9;16.6;13.6;8.6;7.1;5;28.9;71.1;63.2;3.4;4.5;30;7;7.1;2.6;2.7;1.8;-15.2;11320;34950;3.1
2307;346721;794835;20990;51.1;14;23;16.1;16.7;13.6;8.8;7;5;27.7;73.1;65.2;3.2;4.7;28.9;7.3;6.3;2.4;2.3;1.6;-15.6;11350;35660;3.1
2401;87333;189471;20770;50.8;13.5;22.3;16.9;15.7;13.6;8.6;8.2;6.5;29.4;67.3;59.9;2.7;4.7;33.9;8.4;5.7;2;2.3;1.4;-15.3;11550;34370;3
2402;16726;33945;18660;40;18.7;31.6;26.7;24.5;19.5;12.1;11.4;12.2;34.2;54.3;45.6;2.9;5.8;43.4;8.4;6.8;1.9;3.3;1.6;-12.9;10280;30640;3
2403;20734;44723;19190;42.7;17.9;33.1;25.9;22.3;17.9;10.6;7.5;8.5;40.2;60.1;53;3.2;3.9;38.2;8;7.4;2.4;3.2;1.8;-13.7;10450;30990;3
2404;105393;247611;22040;56.4;10.4;16.8;12.2;12.1;10.1;6.7;5.5;5;23.3;74.2;66.6;2.9;4.7;29;8.2;4.6;2.3;1.3;1;-16;12530;35980;2.9
2405;15836;35041;19830;46.4;15.1;25.4;19.4;20.5;15.1;9.1;7;7.6;33.4;61;52.7;2.9;5.4;38.1;9.2;5.7;2.5;1.9;1.3;-14;11050;32120;2.9
2406;44907;115036;20660;51;15.8;21;18.9;19.3;15.2;10.7;8;7.2;34.1;73.2;65.4;3.5;4.3;28.5;7.1;6.5;3.1;2;1.4;-15.3;10900;34420;3.2
2407;10041;20320;18790;39;16.2;22.7;19.6;19.5;18.8;11.5;12.3;11.6;29;55;46.5;2.3;6.2;43.4;8.8;5.6;1.8;2.5;1.3;-12.8;10960;30690;2.8
