COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;347;Saint-Jean-de-Monts;CHAR;3
CODGEO;Code géographique;Code géographique;348;Luçon;CHAR;3
CODGEO;Code géographique;Code géographique;349;Ploërmel;CHAR;3
CODGEO;Code géographique;Code géographique;350;Saint-Maixent-l'École;CHAR;3
CODGEO;Code géographique;Code géographique;351;Lamballe-Armor;CHAR;3
CODGEO;Code géographique;Code géographique;352;Le Blanc;CHAR;3
CODGEO;Code géographique;Code géographique;353;Paray-le-Monial;CHAR;3
CODGEO;Code géographique;Code géographique;354;Capbreton;CHAR;3
CODGEO;Code géographique;Code géographique;355;Bourg-Saint-Maurice;CHAR;3
CODGEO;Code géographique;Code géographique;356;Uzès;CHAR;3
