CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
572;2235;4634;19570;44.6;16.5;;;22.5;;;;7;33.4;56.9;50.5;2.9;3.5;41.2;8.7;6.6;2;2.7;1.9;-13.4;10920;31800;2.9
573;2569;4916;19860;43.1;15.2;;;;;;;9.7;26.1;53.2;42.7;2.5;8;44.4;12.7;5.1;1.4;2.3;1.4;-15.4;11040;34650;3.1
574;2756;5729;20060;44.5;14.1;;;;;;;6.9;28.7;60.9;52.7;2.5;5.7;38.6;8.1;6.5;2;2.7;1.8;-14.1;11600;33500;2.9
575;2448;5620;18520;39;18.9;;26.2;22.1;;;;11.3;32.9;61.7;53.2;3.7;4.8;33.3;9;8.7;3.3;3.3;2.1;-12.7;10690;30180;2.8
576;2476;4630;18590;39.3;18.4;;;;;;;8.5;32.2;53.9;46.4;2.5;5;42.5;10.1;8.1;1.8;4;2.3;-14.6;10540;33480;3.2
577;2426;4871;19670;42.3;12.8;;;;;;;7.7;24.1;60.3;49.1;2.1;9.1;37.7;11.4;4.9;1.6;2;1.3;-14.3;11790;31860;2.7
578;2157;5424;18550;37.9;13.7;;;18.4;;;;5.8;34.1;69.8;60.4;2.9;6.5;27.1;8.5;7.2;3.6;2.1;1.5;-12.6;11630;28550;2.5
579;2546;4982;18140;35.7;21.6;;34.3;22.8;23.5;;;10.4;40.6;53.3;45.3;3.5;4.5;41.7;8.7;9.1;2.2;4.5;2.4;-12.8;9900;30530;3.1
580;2356;5439;20370;46;9.3;;;;;;;;26.7;68.8;61;2.5;5.3;30.6;10.6;5.1;2.5;1.4;1.2;-15.1;12930;30910;2.4
581;2328;5193;19170;39.6;10.9;;;;;;;5.6;24.6;62.2;53.9;2.2;6.1;34.9;10.5;5.4;2.5;1.7;1.2;-13;12450;31000;2.5
582;2350;5362;19840;44.8;12.2;;;14.9;;;;6.2;25.3;68.6;60.9;3;4.7;30.7;7.9;5.9;2.9;1.7;1.3;-13.1;12110;29630;2.4
583;2715;5570;18690;40.8;18.2;;;26.3;21.3;;;9.8;30.9;51.2;43.3;4;3.9;46.2;9.5;6.7;1.9;3;1.8;-13.6;10390;31980;3.1
584;2413;4868;19810;44.1;13.4;;;;;;;6.7;26.9;53.6;45.6;2.7;5.3;43.5;11.6;4.9;1.8;1.8;1.3;-13.6;11650;31730;2.7
585;2906;6333;19350;43.5;19;;22;21.5;23.9;13.8;;12.3;32.4;55.5;43.7;3.5;8.3;40.9;12.9;6.1;2;2.7;1.4;-15.4;10140;33870;3.3
586;2133;4497;19250;44.3;17.7;;;;;;;9.1;32.4;63.8;54.3;5.7;3.8;36.4;6;7.5;2.3;3.1;2.1;-13.7;10650;30690;2.9
587;2166;4719;17830;38.7;22.5;;31.4;30.5;21.7;;;9.9;36.2;62.8;54.5;4.5;3.8;34.7;7.3;8.6;2.7;3.7;2.2;-13.4;9860;29740;3
588;2291;4607;19720;41.1;13.5;;;;;;;8.3;24.9;57.4;48.9;2.2;6.3;39.6;10.1;5.8;1.9;2.4;1.5;-12.9;11810;30790;2.6
589;2476;5158;20680;50.2;11.5;;;;;;;;19.5;64.3;55.6;3;5.7;34.8;10.7;5.4;1.9;2;1.5;-15.2;12110;34580;2.9
590;2308;4565;20050;45.5;9.6;;;;;;;5.9;20.1;56.8;47.9;2.7;6.2;43.1;10.7;4;1.4;1.6;1;-14.6;12830;32340;2.5
591;2139;4379;19190;39.1;16.8;;;23.4;;;;9.2;32;56.9;47.9;3.2;5.8;41.5;7.6;7.4;1.7;3.8;1.9;-13.4;10840;32050;3
592;2463;4888;20610;47.8;12.7;;;;;;;;26;59.9;49.6;2.4;7.9;39.7;12.4;4.4;1.3;1.8;1.3;-16.4;11720;36600;3.1
593;2388;4920;20080;43.7;14.2;;;;;;;9.8;27.7;50.9;42.9;3.1;4.9;48.3;9;4.9;1.8;1.9;1.2;-13.1;11300;32270;2.9
594;2095;4621;19180;41.3;14;;;;;;;;27.1;62.9;54.5;2.5;5.9;35;9.3;6.7;2.8;2.2;1.7;-13.9;11430;31870;2.8
595;2275;4647;19270;39.6;16;;;;;;;9.5;32.8;55.8;47.4;3;5.4;42.4;9.5;5.3;1.5;2.3;1.5;-13;11060;32370;2.9
596;2042;4780;21280;51.2;13;;;;;;;7.6;28.2;69;63.2;2.4;3.4;32.8;8.4;5;2.2;1.8;1;-15.2;11660;35350;3
597;2221;4886;20200;44.5;13.1;;;;;;;7.1;26.7;61.7;52.6;2.1;7;35.5;12.2;5.3;2.1;2;1.2;-14.7;11820;34110;2.9
598;2325;5067;20280;45.8;11;;;;;;;5.5;24.9;61.4;52.8;2.8;5.8;37.2;8.8;6;2.2;2.3;1.5;-13.4;12380;31970;2.6
599;2785;6450;20560;48.6;9.8;;;14.2;;;;5.8;18;64.4;56.4;4;4;37.7;8;4.6;2.3;1.3;1;-14.7;12730;33140;2.6
600;2714;5051;22930;57.6;7.8;;;;;;;;15.7;43.9;33.8;3.3;6.8;54.7;16.5;2.5;0.8;1;0.7;-17.6;13350;42120;3.2
601;2189;4458;18880;40.5;16.7;;;;;;;;28.6;55.5;48.8;3.1;3.6;41.3;9.5;7.2;2.2;3;2;-13.5;10680;30550;2.9
602;2561;5281;19680;39.1;13.2;;;15;;;;;25;62.7;53.5;2.9;6.3;34.2;9.5;7.5;2.4;3.1;2;-13.9;11770;32660;2.8
603;1617;4203;18980;41.4;12;;;;;;;;17.1;76.8;70.8;2.6;3.4;22.9;5.4;7.2;4;1.7;1.5;-12.3;12370;30470;2.5
